hrm_mean,hrm_min,hrm_max,hrm_med,hrm_var,hrm_kurtosis,hrm_skew,hrm_p10,hrm_p90,accel_mean,accel_min,accel_max,accel_med,accel_var,accel_kurtosis,accel_skew,accel_p10,accel_p90,label
65.367,64.0,66.0,66.0,0.566,-0.897,-0.717,64.0,66.0,9.76,9.723,9.804,9.764,0.0,-0.403,-0.042,9.74,9.78,awake
64.933,63.0,66.0,65.0,0.729,-0.964,-0.194,64.0,66.0,9.757,9.682,9.781,9.758,0.0,4.574,-1.826,9.741,9.776,awake
63.233,62.0,65.0,63.0,1.046,-0.702,0.644,62.0,65.0,9.754,8.574,10.133,9.762,0.063,13.738,-3.329,9.729,9.92,awake
63.333,62.0,65.0,63.0,1.156,-1.28,0.113,62.0,65.0,9.758,9.531,9.915,9.762,0.004,4.525,-1.118,9.715,9.808,awake
62.733,61.0,64.0,63.0,1.129,-1.306,-0.121,61.0,64.0,9.782,9.706,10.118,9.771,0.005,14.092,3.494,9.733,9.823,awake
64.233,64.0,65.0,64.0,0.179,-0.41,1.261,64.0,65.0,9.864,6.226,12.049,9.77,0.733,9.563,-1.796,9.711,10.811,awake
64.2,61.0,65.0,65.0,1.827,0.138,-1.338,62.0,65.0,9.766,9.708,9.926,9.757,0.002,6.869,2.377,9.735,9.795,awake
63.667,61.0,65.0,64.0,0.689,4.414,-2.112,63.0,64.0,9.761,9.731,9.788,9.763,0.0,-1.199,0.053,9.741,9.783,awake
63.633,63.0,65.0,64.0,0.299,-0.863,0.07,63.0,64.0,9.765,9.731,9.789,9.766,0.0,0.014,-0.416,9.752,9.782,awake
64.567,64.0,65.0,65.0,0.246,-1.928,-0.269,64.0,65.0,9.557,6.402,10.192,9.762,0.579,9.719,-3.261,9.399,9.915,awake
65.0,65.0,65.0,65.0,0.0,-3.0,0.0,65.0,65.0,9.831,9.569,10.245,9.809,0.028,0.5,1.064,9.651,10.117,awake
65.0,65.0,65.0,65.0,0.0,-3.0,0.0,65.0,65.0,9.786,9.655,10.19,9.785,0.008,11.294,2.889,9.708,9.836,awake
64.133,63.0,65.0,65.0,0.916,-1.854,-0.269,63.0,65.0,9.803,8.971,10.427,9.823,0.044,8.449,-1.399,9.752,9.877,awake
60.533,58.0,63.0,61.0,3.049,-1.441,-0.356,58.0,62.0,9.826,9.634,10.292,9.828,0.01,13.593,3.055,9.755,9.856,awake
62.133,62.0,63.0,62.0,0.116,2.654,2.157,62.0,63.0,9.756,9.62,9.971,9.741,0.004,3.697,1.629,9.704,9.802,awake
63.0,63.0,63.0,63.0,0.0,-3.0,0.0,63.0,63.0,9.784,8.731,12.097,9.759,0.275,10.632,2.363,9.46,9.987,awake
63.0,63.0,63.0,63.0,0.0,-3.0,0.0,63.0,63.0,9.855,9.264,11.746,9.738,0.164,13.141,3.382,9.662,10.092,awake
65.833,63.0,68.0,65.0,2.806,-1.341,0.221,64.0,68.0,9.737,9.597,9.851,9.756,0.003,0.032,-0.716,9.647,9.785,awake
65.0,65.0,65.0,65.0,0.0,-3.0,0.0,65.0,65.0,9.767,9.749,9.796,9.767,0.0,-0.377,0.442,9.752,9.786,awake
64.8,63.0,65.0,65.0,0.227,4.9,-2.372,64.0,65.0,9.716,8.01,10.362,9.77,0.116,18.509,-3.978,9.709,9.799,awake
63.667,62.0,65.0,64.0,1.622,-1.629,-0.229,62.0,65.0,9.776,9.746,9.803,9.778,0.0,-0.762,-0.086,9.756,9.797,awake
64.533,63.0,65.0,65.0,0.449,-0.001,-1.119,63.9,65.0,9.775,9.743,9.814,9.773,0.0,0.235,0.343,9.758,9.792,awake
63.067,61.0,65.0,63.0,1.796,-1.15,0.294,61.9,65.0,9.775,9.732,9.811,9.778,0.0,0.542,-0.251,9.759,9.792,awake
63.367,63.0,64.0,63.0,0.232,-1.694,0.553,63.0,64.0,9.77,9.729,9.816,9.771,0.0,-0.576,-0.047,9.744,9.795,awake
62.667,62.0,63.0,63.0,0.222,-1.5,-0.707,62.0,63.0,9.791,7.099,11.214,9.771,0.394,10.051,-1.831,9.722,9.991,awake
62.6,62.0,63.0,63.0,0.24,-1.833,-0.408,62.0,63.0,9.76,8.195,10.297,9.799,0.099,17.768,-3.936,9.689,9.905,awake
62.8,62.0,64.0,63.0,0.56,-1.153,0.344,62.0,64.0,9.849,8.344,11.869,9.832,0.219,12.226,1.562,9.809,9.875,awake
62.367,62.0,63.0,62.0,0.232,-1.694,0.553,62.0,63.0,9.897,9.537,10.931,9.853,0.047,14.486,3.518,9.803,10.026,awake
61.633,61.0,62.0,62.0,0.232,-1.694,-0.553,61.0,62.0,9.807,9.2,10.662,9.811,0.055,5.563,0.702,9.635,9.93,awake
62.533,62.0,64.0,62.0,0.516,-0.449,0.964,62.0,64.0,9.864,9.322,11.072,9.813,0.069,12.641,3.088,9.788,9.906,awake
63.967,63.0,64.0,64.0,0.032,25.034,-5.199,64.0,64.0,9.799,8.612,10.556,9.806,0.072,11.894,-2.096,9.764,9.898,awake
